user_id,total_revenue,currency,total_posts,average_schedule_seconds,total_twitter_post,total_facebook_post,total_pinterest_post,total_instagram_post,total_instagram_story,total_linkedin_post,total_tiktok_post,suggested_hashtags_count,suggested_time_count
-866136761193445081,19.00,usd,3,364820.0,0,0,0,3,0,0,0,,
-8676371230543118975,,,1,486004.0,0,0,0,1,0,0,0,,
-8722219019990612646,,,1,680416.0,0,0,0,1,0,0,0,0,1
-8990035633014600647,9.00,usd,1,522002.0,0,0,0,1,0,0,0,30,1
-8990758928760960593,90.00,usd,1,,0,0,0,1,0,0,0,3,0
-9206277923522006678,,,1,,0,0,0,1,0,0,0,0,2
-9215939018763956982,19.00,usd,2,111624.0,0,0,0,2,0,0,0,,
10746426907957690,90.00,usd,4,397245.6666666667,0,3,0,1,0,0,0,23,3
1103793649230825730,15.00,usd,,,,,,,,,,13,1
1145110002592365661,760.00,usd,2,385248.0,0,1,0,1,0,0,0,1,5
1264128607689611022,,,1,270028.0,0,0,0,1,0,0,0,0,1
1364420885419547764,,,2,111647.0,0,0,1,1,0,0,0,10,1
1414853559439431350,,,3,174631.5,0,2,0,1,0,0,0,7,1
1538802942411279306,19.00,usd,1,147656.0,0,0,0,1,0,0,0,8,3
1776137933400388932,19.00,usd,1,,0,0,0,1,0,0,0,3,0
1796411408313545614,9.00,usd,1,349212.0,0,0,0,1,0,0,0,,
1962927760681148734,150.00,usd,,,,,,,,,,7,1
2122896795083753326,29.98,usd,6,440420.6666666667,0,2,2,2,0,0,0,5,1
2133651308764874969,9.00,usd,2,228625.0,0,0,0,1,0,1,0,0,2
2223952937360170496,319.05,usd,4,289236.0,1,1,1,1,0,0,0,0,1
2296197700306454940,15.00,usd,,,,,,,,,,,
2358610924047634131,19.00,usd,3,434442.3333333333,0,1,0,2,0,0,0,,
249653857713942463,,,2,136827.0,0,1,0,1,0,0,0,0,1
2543273924865336909,38.00,usd,1,234052.0,0,0,0,1,0,0,0,0,2
2650144895077801520,55.00,usd,3,475214.0,0,2,0,1,0,0,0,11,0
2784152317123546472,58.00,usd,,,,,,,,,,2,3
3290525150481418782,,,2,592235.5,0,0,0,2,0,0,0,4,4
332176274718887434,9.00,usd,1,230413.0,0,0,0,1,0,0,0,9,2
3496420498462992576,,,,,,,,,,,,21,0
3888230932521869750,15.00,usd,2,583203.0,0,0,1,1,0,0,0,0,1
39326595696743659,19.00,usd,,,,,,,,,,,
4240420007215360203,,,2,253819.0,0,0,1,1,0,0,0,,
